time	iter	Acc	celoss	featloss	l2sp
Sep  3 12:21:1	10299	92.2	7.15	40.99	171.16
Sep  3 12:21:5	10399	92.43	6.88	41.18	171.66
Sep  3 12:22:4	10499	92.99	6.74	41.52	172.15
Sep  3 12:23:2	10599	92.89	6.84	41.09	172.63
Sep  3 12:24:0	10699	92.22	6.93	41.43	173.11
Sep  3 12:24:4	10799	92.95	6.6	41.56	173.62
Sep  3 12:25:2	10899	93.1	6.53	41.31	174.1
Sep  3 12:25:5	10999	92.2	7.1	41.91	174.6
Sep  3 12:26:4	11099	92.67	6.85	41.49	175.08
Sep  3 12:27:1	11199	93.0	6.54	41.56	175.55
Sep  3 12:27:5	11299	93.23	6.38	41.82	176.05
Sep  3 12:28:4	11399	93.06	6.38	41.6	176.51
Sep  3 12:29:1	11499	92.87	6.55	41.98	177.02
Sep  3 12:30:0	11599	92.59	6.71	41.91	177.48
Sep  3 12:30:4	11699	93.38	6.23	41.98	177.94
Sep  3 12:31:2	11799	92.57	6.65	42.27	178.41
Sep  3 12:32:0	11899	93.17	6.35	42.01	178.88
Sep  3 12:32:4	11999	93.23	6.39	41.93	179.34
Sep  3 12:33:2	12099	93.75	6.16	42.23	179.8
Sep  3 12:34:0	12199	93.75	6.01	42.42	180.24
Sep  3 12:34:4	12299	93.45	6.23	42.42	180.66
Sep  3 12:35:3	12399	93.51	6.07	42.37	181.09
Sep  3 12:36:1	12499	93.68	6.13	42.2	181.51
Sep  3 12:36:5	12599	93.19	6.17	42.56	181.93
Sep  3 12:37:3	12699	93.28	6.19	42.35	182.38
Sep  3 12:38:1	12799	94.48	5.49	42.51	182.79
Sep  3 12:38:5	12899	94.42	5.62	42.85	183.23
Sep  3 12:39:3	12999	93.49	5.85	42.85	183.63
Sep  3 12:40:1	13099	93.84	5.83	43.02	184.07
Sep  3 12:40:5	13199	93.32	5.99	42.93	184.48
Sep  3 12:41:3	13299	93.94	5.81	43.08	184.9
Sep  3 12:42:1	13399	93.53	5.91	43.01	185.31
Sep  3 12:42:5	13499	93.71	5.85	43.27	185.72
Sep  3 12:43:3	13599	93.58	5.96	42.75	186.12
Sep  3 12:44:2	13699	93.82	5.96	42.95	186.51
Sep  3 12:45:0	13799	93.71	5.79	43.51	186.91
Sep  3 12:45:4	13899	94.51	5.48	43.15	187.31
Sep  3 12:46:2	13999	94.25	5.4	43.67	187.71
Sep  3 12:47:0	14099	94.16	5.51	43.39	188.1
Sep  3 12:47:5	14199	93.97	5.53	43.33	188.5
Sep  3 12:48:2	14299	93.84	5.57	43.55	188.88
Sep  3 12:49:0	14399	94.24	5.46	44.02	189.29
Sep  3 12:49:5	14499	94.63	5.33	43.82	189.62
Sep  3 12:50:3	14599	93.96	5.61	44.0	190.0
Sep  3 12:51:1	14699	94.27	5.54	43.93	190.36
Sep  3 12:51:5	14799	94.18	5.4	44.03	190.72
Sep  3 12:52:4	14899	93.79	5.6	43.8	191.11
Sep  3 12:53:2	14999	93.99	5.62	44.52	191.48
Sep  3 12:54:0	15099	93.77	5.64	44.08	191.85
Sep  3 12:54:4	15199	94.63	5.21	44.13	192.2
Sep  3 12:55:2	15299	94.37	5.23	44.28	192.56
Sep  3 12:56:0	15399	94.61	5.14	44.35	192.93
Sep  3 12:56:4	15499	94.27	5.34	44.53	193.29
Sep  3 12:57:2	15599	93.92	5.24	44.59	193.65
Sep  3 12:58:0	15699	94.35	5.37	44.44	193.99
Sep  3 12:58:5	15799	94.42	5.25	44.62	194.37
Sep  3 12:59:3	15899	94.7	4.94	44.97	194.69
Sep  3 13:00:2	15999	94.89	5.04	44.34	195.05
Sep  3 13:01:0	16099	94.38	5.21	44.47	195.38
Sep  3 13:01:4	16199	94.81	4.97	44.67	195.76
Sep  3 13:02:2	16299	94.76	5.11	44.58	196.09
Sep  3 13:03:0	16399	95.04	4.67	44.91	196.43
Sep  3 13:03:4	16499	95.09	4.74	44.85	196.77
Sep  3 13:04:2	16599	93.96	5.19	44.6	197.08
Sep  3 13:05:0	16699	95.04	4.91	44.99	197.43
Sep  3 13:05:4	16799	94.44	4.99	44.92	197.76
Sep  3 13:06:3	16899	95.37	4.63	45.1	198.09
Sep  3 13:07:1	16999	95.39	4.74	45.58	198.44
Sep  3 13:07:5	17099	94.74	4.99	45.17	198.76
Sep  3 13:08:3	17199	94.59	4.9	45.63	199.1
Sep  3 13:09:1	17299	94.61	5.38	45.7	199.41
Sep  3 13:09:5	17399	95.19	4.67	45.44	199.74
Sep  3 13:10:3	17499	95.06	4.66	45.16	200.06
Sep  3 13:11:1	17599	95.24	4.63	45.33	200.4
Sep  3 13:11:5	17699	94.96	4.66	45.21	200.73
Sep  3 13:12:3	17799	94.83	4.87	45.17	201.02
Sep  3 13:13:1	17899	94.74	4.93	45.44	201.35
Sep  3 13:13:5	17999	94.89	4.52	45.52	201.67
Sep  3 13:14:4	18099	95.37	4.56	45.52	201.99
Sep  3 13:15:2	18199	95.02	4.63	45.71	202.28
Sep  3 13:16:0	18299	95.11	4.55	45.78	202.6
Sep  3 13:16:4	18399	94.94	4.65	45.4	202.91
Sep  3 13:17:2	18499	94.48	4.88	45.59	203.25
Sep  3 13:18:0	18599	95.39	4.34	45.81	203.54
Sep  3 13:18:4	18699	94.96	4.7	45.93	203.86
Sep  3 13:19:2	18799	94.46	4.98	46.06	204.16
Sep  3 13:20:0	18899	94.51	4.97	46.11	204.48
Sep  3 13:20:5	18999	95.09	4.72	45.83	204.79
Sep  3 13:21:3	19099	94.87	4.67	46.04	205.09
Sep  3 13:22:1	19199	95.17	4.55	46.2	205.39
Sep  3 13:22:4	19299	94.91	4.54	46.37	205.7
Sep  3 13:23:2	19399	95.32	4.38	46.19	206.0
Sep  3 13:24:1	19499	95.69	4.36	46.46	206.32
Sep  3 13:24:5	19599	95.69	4.23	46.61	206.65
Sep  3 13:25:3	19699	95.45	4.27	46.08	206.96
Sep  3 13:26:1	19799	95.54	4.09	46.9	207.26
Sep  3 13:26:5	19899	95.34	4.31	46.79	207.56
Sep  3 13:27:3	19999	95.15	4.49	47.0	207.85
Sep  3 13:28:1	20099	95.54	4.21	46.91	208.14
Sep  3 13:28:5	20199	95.32	4.47	46.59	208.44
Sep  3 13:29:4	20299	95.6	4.23	46.95	208.73
Sep  3 13:30:2	20399	94.93	4.72	47.11	209.04
Sep  3 13:31:0	20499	95.15	4.68	47.14	209.32
Sep  3 13:31:4	20599	95.06	4.51	46.46	209.63
Sep  3 13:32:2	20699	95.35	4.13	46.85	209.9
Sep  3 13:33:0	20799	96.04	4.0	47.07	210.2
Sep  3 13:33:4	20899	95.41	4.11	47.03	210.48
Sep  3 13:34:3	20999	95.47	4.24	46.89	210.76
Sep  3 13:35:1	21099	95.17	4.43	47.11	211.06
Sep  3 13:35:5	21199	95.32	4.16	46.87	211.32
Sep  3 13:36:3	21299	95.56	4.25	46.93	211.6
Sep  3 13:37:1	21399	95.41	4.39	47.38	211.9
Sep  3 13:37:5	21499	96.01	3.85	47.44	212.18
Sep  3 13:38:3	21599	95.75	4.18	47.33	212.47
Sep  3 13:39:1	21699	95.35	4.23	47.96	212.75
Sep  3 13:39:5	21799	95.47	4.1	47.33	213.03
Sep  3 13:40:4	21899	96.18	3.75	47.51	213.29
Sep  3 13:41:2	21999	95.52	4.07	47.54	213.59
Sep  3 13:42:0	22099	95.56	3.98	47.62	213.87
Sep  3 13:42:4	22199	95.93	3.95	47.49	214.16
Sep  3 13:43:2	22299	95.67	4.17	47.69	214.44
Sep  3 13:44:0	22399	95.67	3.89	48.03	214.73
Sep  3 13:44:4	22499	95.99	3.9	47.58	214.98
Sep  3 13:45:3	22599	95.32	4.24	47.58	215.25
Sep  3 13:46:1	22699	95.82	4.07	47.85	215.52
Sep  3 13:46:5	22799	95.32	4.24	47.69	215.78
Sep  3 13:47:3	22899	95.84	4.0	48.13	216.06
Sep  3 13:48:1	22999	95.84	4.12	47.61	216.34
Sep  3 13:48:5	23099	95.82	3.98	47.97	216.59
Sep  3 13:49:3	23199	95.86	4.01	48.09	216.84
Sep  3 13:50:1	23299	96.21	3.8	47.9	217.13
Sep  3 13:50:5	23399	95.52	4.03	48.21	217.4
Sep  3 13:51:3	23499	95.58	3.92	48.15	217.66
Sep  3 13:52:0	23599	96.12	3.85	47.9	217.94
Sep  3 13:52:4	23699	95.99	3.87	48.46	218.2
Sep  3 13:53:2	23799	95.56	4.05	48.11	218.47
Sep  3 13:54:0	23899	96.31	3.44	48.48	218.73
Sep  3 13:54:4	23999	95.58	4.03	48.74	218.99
Sep  3 13:55:2	24099	95.65	4.01	48.38	219.26
Sep  3 13:55:5	24199	95.6	4.05	48.48	219.53
Sep  3 13:56:3	24299	95.95	3.67	48.5	219.81
Sep  3 13:57:1	24399	95.78	3.86	48.34	220.08
Sep  3 13:57:5	24499	95.97	3.85	48.59	220.33
Sep  3 13:58:2	24599	96.19	3.75	48.68	220.58
Sep  3 13:59:0	24699	95.8	3.91	48.25	220.85
Sep  3 13:59:4	24799	96.12	3.71	48.45	221.11
Sep  3 14:00:2	24899	95.52	4.23	48.3	221.36
Sep  3 14:01:0	24999	96.1	3.54	48.89	221.61
Sep  3 14:01:3	25099	95.86	3.85	49.3	221.87
Sep  3 14:02:1	25199	96.23	3.63	48.98	222.14
Sep  3 14:02:5	25299	96.23	3.75	49.26	222.38
Sep  3 14:03:3	25399	96.06	3.78	48.86	222.61
Sep  3 14:04:0	25499	95.88	3.81	49.0	222.9
Sep  3 14:04:4	25599	96.14	3.62	49.48	223.14
Sep  3 14:05:1	25699	96.27	3.61	48.93	223.41
Sep  3 14:05:5	25799	95.99	3.92	49.04	223.66
Sep  3 14:06:3	25899	96.44	3.56	48.98	223.91
Sep  3 14:07:1	25999	96.32	3.72	49.28	224.14
Sep  3 14:07:4	26099	95.95	3.75	49.37	224.4
Sep  3 14:08:2	26199	96.06	3.58	49.56	224.65
Sep  3 14:09:0	26299	96.16	3.59	49.41	224.92
Sep  3 14:09:3	26399	96.77	3.45	49.37	225.17
Sep  3 14:10:1	26499	96.27	3.54	49.46	225.42
Sep  3 14:10:5	26599	96.21	3.62	49.52	225.68
Sep  3 14:11:2	26699	96.14	3.51	49.38	225.9
Sep  3 14:12:0	26799	96.27	3.58	49.49	226.13
Sep  3 14:12:4	26899	96.38	3.55	49.38	226.36
Sep  3 14:13:2	26999	96.16	3.71	49.19	226.59
Sep  3 14:13:5	27099	95.91	3.91	49.1	226.82
Sep  3 14:14:3	27199	96.12	3.6	49.67	227.07
Sep  3 14:15:1	27299	96.55	3.44	49.39	227.31
Sep  3 14:15:4	27399	95.75	3.92	49.99	227.54
Sep  3 14:16:2	27499	96.19	3.42	49.86	227.8
Sep  3 14:17:0	27599	96.47	3.52	49.87	228.03
Sep  3 14:17:4	27699	96.27	3.44	50.23	228.28
Sep  3 14:18:1	27799	96.42	3.45	49.61	228.51
Sep  3 14:18:5	27899	96.44	3.43	49.85	228.75
Sep  3 14:19:3	27999	96.21	3.59	49.45	228.99
Sep  3 14:20:0	28099	96.01	3.63	49.99	229.23
Sep  3 14:20:4	28199	96.27	3.61	50.32	229.47
Sep  3 14:21:2	28299	96.77	3.24	50.24	229.7
Sep  3 14:22:0	28399	95.86	3.62	49.93	229.94
Sep  3 14:22:3	28499	96.04	3.51	49.86	230.19
Sep  3 14:23:1	28599	96.38	3.56	50.05	230.43
Sep  3 14:23:5	28699	96.53	3.52	50.48	230.66
Sep  3 14:24:3	28799	96.53	3.28	49.89	230.91
Sep  3 14:25:0	28899	96.1	3.56	50.07	231.16
Sep  3 14:25:4	28999	96.42	3.46	50.38	231.4
Sep  3 14:26:2	29099	96.03	3.67	50.33	231.63
Sep  3 14:26:5	29199	96.1	3.62	50.35	231.86
Sep  3 14:27:3	29299	96.4	3.39	50.18	232.08
Sep  3 14:28:1	29399	96.32	3.38	50.95	232.33
Sep  3 14:28:4	29499	96.55	3.25	50.54	232.54
Sep  3 14:29:2	29599	96.81	3.31	50.59	232.76
Sep  3 14:30:0	29699	96.79	3.27	50.6	232.98
Sep  3 14:30:3	29799	96.74	3.22	50.6	233.19
Sep  3 14:31:1	29899	96.36	3.36	50.56	233.42
Sep  3 14:31:5	29999	96.85	3.17	50.73	233.63
