time	iter	Acc	celoss	featloss	l2sp
Aug 22 12:47:4	10200	70.67	5.79	12.97	148.23
Aug 22 12:48:2	10300	71.72	5.62	12.84	148.24
Aug 22 12:49:1	10400	72.31	5.56	13.1	148.27
Aug 22 12:50:0	10500	71.94	5.69	13.09	148.29
Aug 22 12:51:0	10600	72.09	5.69	13.19	148.31
Aug 22 12:51:4	10700	71.27	5.64	13.17	148.33
Aug 22 12:52:3	10800	72.31	5.68	13.1	148.33
Aug 22 12:53:2	10900	72.01	5.65	13.09	148.36
Aug 22 12:54:1	11000	71.19	5.76	13.03	148.38
Aug 22 12:55:0	11100	71.34	5.69	13.11	148.39
Aug 22 12:55:4	11200	71.19	5.75	13.11	148.4
Aug 22 12:56:3	11300	71.49	5.73	12.99	148.43
Aug 22 12:57:2	11400	70.75	5.79	13.16	148.45
Aug 22 12:58:1	11500	71.87	5.71	13.02	148.46
Aug 22 12:59:0	11600	71.72	5.74	13.14	148.48
Aug 22 12:59:4	11700	71.72	5.75	13.1	148.5
Aug 22 13:00:3	11800	71.04	5.74	13.19	148.51
Aug 22 13:01:2	11900	71.57	5.8	13.13	148.53
Aug 22 13:02:0	12000	70.07	5.78	13.27	148.55
Aug 22 13:03:0	12100	70.3	5.88	13.22	148.56
Aug 22 13:03:5	12200	71.27	5.77	13.11	148.57
Aug 22 13:04:3	12300	71.72	5.74	13.2	148.6
Aug 22 13:05:2	12400	70.67	5.74	13.27	148.62
Aug 22 13:06:1	12500	71.79	5.8	13.21	148.64
Aug 22 13:07:0	12600	70.6	5.83	13.18	148.66
Aug 22 13:07:5	12700	71.27	5.75	13.05	148.67
Aug 22 13:08:3	12800	71.49	5.79	13.15	148.68
Aug 22 13:09:2	12900	71.04	5.76	13.15	148.7
Aug 22 13:10:1	13000	70.52	5.78	13.33	148.72
Aug 22 13:11:0	13100	72.09	5.75	13.06	148.72
Aug 22 13:11:5	13200	70.75	5.76	13.38	148.74
Aug 22 13:12:4	13300	71.57	5.65	13.11	148.76
Aug 22 13:13:2	13400	71.34	5.66	13.3	148.77
Aug 22 13:14:1	13500	71.79	5.69	13.25	148.79
Aug 22 13:15:0	13600	72.16	5.7	13.25	148.8
Aug 22 13:15:4	13700	71.34	5.73	13.34	148.83
Aug 22 13:16:3	13800	71.57	5.74	13.3	148.86
Aug 22 13:17:2	13900	70.97	5.82	13.22	148.88
Aug 22 13:18:1	14000	70.67	5.8	13.3	148.9
Aug 22 13:19:0	14100	70.07	5.92	13.27	148.91
Aug 22 13:19:5	14200	71.49	5.86	13.21	148.93
Aug 22 13:20:4	14300	71.19	5.89	13.33	148.94
Aug 22 13:21:2	14400	70.82	5.73	13.35	148.95
Aug 22 13:22:1	14500	70.22	5.77	13.41	148.97
Aug 22 13:23:0	14600	71.64	5.79	13.3	148.98
Aug 22 13:23:4	14700	71.42	5.86	13.3	149.0
Aug 22 13:24:3	14800	70.9	5.8	13.34	149.03
Aug 22 13:25:2	14900	69.85	5.96	13.33	149.04
Aug 22 13:26:1	15000	71.04	5.77	13.39	149.06
Aug 22 13:27:0	15100	70.6	5.85	13.23	149.08
Aug 22 13:27:5	15200	72.01	5.67	13.26	149.1
Aug 22 13:28:4	15300	71.12	5.85	13.41	149.12
Aug 22 13:29:2	15400	71.64	5.82	13.36	149.14
Aug 22 13:30:1	15500	71.64	5.8	13.3	149.16
Aug 22 13:31:1	15600	70.52	5.94	13.36	149.17
Aug 22 13:31:5	15700	70.0	5.85	13.27	149.19
Aug 22 13:32:4	15800	71.64	5.82	13.3	149.21
Aug 22 13:33:3	15900	70.67	5.83	13.23	149.23
Aug 22 13:34:2	16000	70.97	5.91	13.45	149.24
Aug 22 13:35:1	16100	70.15	5.81	13.33	149.25
Aug 22 13:36:0	16200	71.72	5.74	13.33	149.27
Aug 22 13:36:5	16300	71.64	5.73	13.21	149.28
Aug 22 13:37:4	16400	70.75	5.85	13.44	149.3
Aug 22 13:38:3	16500	71.87	5.78	13.31	149.33
Aug 22 13:39:2	16600	71.27	5.94	13.36	149.34
Aug 22 13:40:0	16700	71.87	5.98	13.41	149.36
Aug 22 13:40:5	16800	71.72	5.84	13.39	149.37
Aug 22 13:41:4	16900	71.64	5.76	13.33	149.39
Aug 22 13:42:3	17000	71.64	5.85	13.49	149.4
Aug 22 13:43:2	17100	71.64	5.72	13.27	149.42
Aug 22 13:44:1	17200	72.69	5.74	13.35	149.44
Aug 22 13:44:5	17300	71.79	5.77	13.42	149.46
Aug 22 13:45:4	17400	70.6	5.85	13.52	149.48
Aug 22 13:46:3	17500	71.72	5.91	13.48	149.49
Aug 22 13:47:2	17600	70.75	5.92	13.45	149.51
Aug 22 13:48:1	17700	71.04	5.77	13.36	149.53
Aug 22 13:48:5	17800	70.97	5.86	13.44	149.54
Aug 22 13:49:4	17900	71.27	5.85	13.43	149.56
Aug 22 13:50:3	18000	71.34	6.05	13.38	149.57
Aug 22 13:51:2	18100	70.3	5.95	13.43	149.58
Aug 22 13:52:1	18200	70.82	5.85	13.56	149.6
Aug 22 13:52:5	18300	71.57	5.84	13.48	149.62
Aug 22 13:53:4	18400	70.6	5.87	13.43	149.64
Aug 22 13:54:3	18500	70.97	5.91	13.5	149.66
Aug 22 13:55:2	18600	71.04	5.86	13.44	149.67
Aug 22 13:56:1	18700	71.42	5.88	13.46	149.68
Aug 22 13:56:5	18800	70.9	5.89	13.44	149.69
Aug 22 13:57:4	18900	71.79	5.84	13.46	149.71
Aug 22 13:58:3	19000	70.07	6.0	13.56	149.72
Aug 22 13:59:1	19100	70.82	5.91	13.54	149.74
Aug 22 14:00:0	19200	71.04	5.9	13.59	149.77
Aug 22 14:00:5	19300	70.75	5.87	13.44	149.78
Aug 22 14:01:3	19400	69.4	5.98	13.54	149.79
Aug 22 14:02:2	19500	70.97	5.91	13.5	149.81
Aug 22 14:03:1	19600	72.46	5.85	13.43	149.83
Aug 22 14:04:0	19700	72.01	5.82	13.53	149.85
Aug 22 14:04:5	19800	72.01	5.75	13.56	149.87
Aug 22 14:05:3	19900	71.49	5.77	13.49	149.88
Aug 22 14:06:2	20000	71.64	5.85	13.41	149.9
Aug 22 14:07:1	20100	70.9	5.98	13.53	149.91
Aug 22 14:08:0	20200	71.34	5.89	13.46	149.93
Aug 22 14:08:4	20300	71.19	5.87	13.34	149.94
Aug 22 14:09:3	20400	72.69	5.84	13.48	149.97
Aug 22 14:10:2	20500	71.87	5.83	13.55	149.98
Aug 22 14:11:0	20600	70.3	5.88	13.47	149.99
Aug 22 14:11:5	20700	70.37	5.91	13.54	150.0
Aug 22 14:12:4	20800	70.75	5.83	13.53	150.02
Aug 22 14:13:2	20900	71.04	5.92	13.61	150.04
Aug 22 14:14:1	21000	71.04	6.05	13.5	150.06
Aug 22 14:15:0	21100	72.09	5.86	13.59	150.07
Aug 22 14:15:4	21200	70.97	5.99	13.52	150.09
Aug 22 14:16:3	21300	70.6	6.07	13.5	150.1
Aug 22 14:17:2	21400	70.52	6.01	13.55	150.12
Aug 22 14:18:0	21500	71.94	5.84	13.58	150.14
Aug 22 14:18:5	21600	69.78	5.99	13.64	150.16
Aug 22 14:19:4	21700	70.07	6.04	13.52	150.18
Aug 22 14:20:3	21800	70.82	5.86	13.51	150.19
Aug 22 14:21:2	21900	70.37	5.99	13.55	150.22
Aug 22 14:22:1	22000	70.3	6.01	13.53	150.23
Aug 22 14:23:0	22100	70.15	6.04	13.64	150.25
Aug 22 14:23:5	22200	70.0	6.0	13.58	150.26
Aug 22 14:24:4	22300	70.22	6.1	13.63	150.28
Aug 22 14:25:3	22400	71.27	5.94	13.65	150.3
Aug 22 14:26:2	22500	69.63	6.07	13.69	150.32
Aug 22 14:27:1	22600	70.6	6.09	13.62	150.33
Aug 22 14:28:0	22700	70.3	6.03	13.53	150.35
Aug 22 14:28:5	22800	70.0	6.03	13.68	150.36
Aug 22 14:29:3	22900	71.27	6.01	13.62	150.38
Aug 22 14:30:2	23000	71.34	6.0	13.59	150.4
Aug 22 14:31:1	23100	71.49	5.96	13.65	150.42
Aug 22 14:32:0	23200	71.42	5.94	13.56	150.43
Aug 22 14:32:5	23300	70.45	6.03	13.66	150.44
Aug 22 14:33:3	23400	71.79	5.98	13.53	150.46
Aug 22 14:34:2	23500	70.97	6.09	13.62	150.47
Aug 22 14:35:1	23600	71.12	6.06	13.57	150.49
Aug 22 14:36:0	23700	70.82	6.01	13.67	150.5
Aug 22 14:36:4	23800	69.78	6.03	13.68	150.52
Aug 22 14:37:3	23900	70.75	6.0	13.61	150.54
Aug 22 14:38:2	24000	71.49	5.85	13.5	150.56
Aug 22 14:39:1	24100	70.67	5.93	13.65	150.57
Aug 22 14:40:0	24200	70.37	5.96	13.68	150.59
Aug 22 14:40:5	24300	71.12	6.06	13.58	150.61
Aug 22 14:41:3	24400	71.19	6.04	13.58	150.63
Aug 22 14:42:2	24500	70.97	5.93	13.65	150.63
Aug 22 14:43:1	24600	72.16	5.86	13.56	150.65
Aug 22 14:44:0	24700	71.42	6.01	13.63	150.66
Aug 22 14:44:4	24800	71.57	6.06	13.59	150.68
Aug 22 14:45:3	24900	71.04	5.94	13.53	150.7
Aug 22 14:46:2	25000	72.39	5.89	13.56	150.72
Aug 22 14:47:0	25100	71.49	5.97	13.56	150.73
Aug 22 14:47:5	25200	71.49	5.81	13.68	150.74
Aug 22 14:48:4	25300	71.12	5.91	13.57	150.75
Aug 22 14:49:3	25400	71.57	5.85	13.64	150.77
Aug 22 14:50:1	25500	71.12	5.95	13.66	150.79
Aug 22 14:51:0	25600	71.72	5.92	13.62	150.81
Aug 22 14:51:4	25700	71.04	6.01	13.67	150.82
Aug 22 14:52:3	25800	71.49	5.98	13.65	150.84
Aug 22 14:53:1	25900	70.45	6.04	13.65	150.85
Aug 22 14:54:0	26000	70.15	6.0	13.71	150.88
Aug 22 14:54:4	26100	71.19	5.94	13.65	150.9
Aug 22 14:55:3	26200	71.42	5.93	13.73	150.91
Aug 22 14:56:2	26300	71.57	5.9	13.7	150.92
Aug 22 14:57:0	26400	70.52	6.04	13.69	150.93
Aug 22 14:57:5	26500	70.82	5.94	13.77	150.95
Aug 22 14:58:4	26600	70.67	6.05	13.61	150.96
Aug 22 14:59:3	26700	70.22	6.11	13.75	150.98
Aug 22 15:00:2	26800	70.82	6.01	13.75	151.0
Aug 22 15:01:1	26900	70.15	6.19	13.76	151.02
Aug 22 15:01:5	27000	70.22	6.09	13.72	151.03
Aug 22 15:02:4	27100	71.87	6.03	13.67	151.05
Aug 22 15:03:4	27200	71.04	6.09	13.65	151.06
Aug 22 15:04:2	27300	70.75	6.06	13.75	151.08
Aug 22 15:05:1	27400	71.72	5.97	13.73	151.09
Aug 22 15:06:0	27500	71.87	6.04	13.61	151.11
Aug 22 15:06:5	27600	71.34	6.0	13.77	151.12
Aug 22 15:07:4	27700	70.15	6.23	13.74	151.14
Aug 22 15:08:2	27800	70.9	6.06	13.67	151.16
Aug 22 15:09:2	27900	70.07	6.0	13.81	151.18
Aug 22 15:10:0	28000	71.34	5.99	13.82	151.19
Aug 22 15:10:5	28100	71.42	6.05	13.73	151.21
Aug 22 15:11:4	28200	71.87	5.99	13.71	151.22
Aug 22 15:12:3	28300	71.04	6.03	13.63	151.24
Aug 22 15:13:2	28400	70.97	6.07	13.71	151.25
Aug 22 15:14:0	28500	69.85	6.08	13.63	151.26
Aug 22 15:14:5	28600	70.3	6.04	13.85	151.27
Aug 22 15:15:4	28700	69.4	6.2	13.88	151.29
Aug 22 15:16:3	28800	70.37	6.14	13.85	151.31
Aug 22 15:17:2	28900	70.22	6.1	13.82	151.32
Aug 22 15:18:1	29000	70.3	5.95	13.8	151.34
Aug 22 15:19:0	29100	70.22	6.12	13.71	151.37
Aug 22 15:19:5	29200	69.85	6.14	13.79	151.39
Aug 22 15:20:3	29300	70.45	6.17	13.67	151.4
Aug 22 15:21:2	29400	69.25	6.15	13.79	151.41
Aug 22 15:22:1	29500	70.22	6.11	13.89	151.42
Aug 22 15:23:0	29600	69.78	6.13	13.84	151.43
Aug 22 15:23:4	29700	70.82	6.14	13.76	151.44
Aug 22 15:24:3	29800	70.07	6.2	13.79	151.46
Aug 22 15:25:2	29900	69.55	6.29	13.85	151.48
Aug 22 15:26:1	29999	70.6	6.15	13.66	151.5
