time	iter	Acc	celoss	featloss	l2sp
Aug 22 13:09:0	9999	54.29	36.69	62.57	1720.85
Aug 22 13:10:1	10099	47.65	42.69	62.48	1720.79
Aug 22 13:11:1	10199	52.43	37.64	62.76	1721.0
Aug 22 13:12:1	10299	59.48	32.26	62.77	1721.06
Aug 22 13:13:1	10399	52.85	38.19	64.11	1721.12
Aug 22 13:14:2	10499	48.15	43.07	63.63	1721.09
Aug 22 13:15:2	10599	56.83	33.98	62.94	1721.2
Aug 22 13:16:3	10699	57.95	35.19	62.38	1721.32
Aug 22 13:17:3	10799	59.03	32.22	63.82	1721.4
Aug 22 13:18:4	10899	51.87	38.67	63.69	1721.52
Aug 22 13:19:4	10999	51.47	37.84	63.22	1721.47
Aug 22 13:20:5	11099	55.76	36.15	62.29	1721.53
Aug 22 13:22:0	11199	59.85	32.16	63.44	1721.37
Aug 22 13:23:0	11299	58.02	33.27	63.69	1721.52
Aug 22 13:24:1	11399	53.96	36.52	63.11	1721.58
Aug 22 13:25:1	11499	56.62	34.49	63.31	1721.59
Aug 22 13:26:1	11599	54.18	36.23	62.63	1721.63
Aug 22 13:27:1	11699	55.22	36.87	63.07	1721.73
Aug 22 13:28:1	11799	54.12	36.92	63.13	1721.94
Aug 22 13:29:2	11899	58.02	32.81	63.44	1722.05
Aug 22 13:30:2	11999	60.07	31.83	63.9	1722.03
Aug 22 13:31:3	12099	52.67	38.05	62.56	1721.88
Aug 22 13:32:3	12199	55.52	35.07	63.06	1722.05
Aug 22 13:33:4	12299	61.7	31.04	63.55	1722.0
Aug 22 13:34:4	12399	61.85	30.85	63.52	1721.98
Aug 22 13:35:5	12499	56.01	36.0	63.9	1721.76
Aug 22 13:36:5	12599	51.51	38.87	63.5	1721.99
Aug 22 13:38:0	12699	55.02	35.94	63.66	1721.97
Aug 22 13:39:0	12799	58.32	32.66	63.35	1721.92
Aug 22 13:39:5	12899	59.5	31.7	63.89	1721.79
Aug 22 13:40:5	12999	65.88	27.83	63.42	1721.74
Aug 22 13:42:0	13099	55.13	37.39	63.66	1721.79
Aug 22 13:43:0	13199	57.99	34.02	62.8	1721.84
Aug 22 13:44:0	13299	63.43	29.29	63.52	1721.88
Aug 22 13:45:1	13399	57.28	34.1	63.58	1721.76
Aug 22 13:46:1	13499	58.08	33.7	63.18	1721.92
Aug 22 13:47:1	13599	56.83	34.97	63.3	1722.05
Aug 22 13:48:1	13699	53.86	37.5	63.49	1721.97
Aug 22 13:49:1	13799	59.57	33.28	63.88	1722.08
Aug 22 13:50:1	13899	61.51	31.23	63.55	1721.98
Aug 22 13:51:1	13999	54.68	36.67	64.05	1722.01
Aug 22 13:52:1	14099	55.86	35.76	63.06	1722.09
Aug 22 13:53:1	14199	57.85	34.5	62.98	1721.99
Aug 22 13:54:1	14299	55.13	36.28	63.69	1722.16
Aug 22 13:55:1	14399	66.53	27.06	63.65	1722.15
Aug 22 13:56:1	14499	64.18	28.78	64.03	1722.14
Aug 22 13:57:1	14599	50.15	40.41	63.36	1722.19
Aug 22 13:58:1	14699	60.88	31.39	63.79	1722.17
Aug 22 13:59:1	14799	60.34	31.46	63.85	1721.92
Aug 22 14:00:1	14899	65.76	28.13	63.84	1722.1
Aug 22 14:01:1	14999	61.88	31.03	64.38	1721.94
Aug 22 14:02:2	15099	61.66	31.06	63.25	1721.91
Aug 22 14:03:2	15199	58.97	32.57	63.95	1722.18
Aug 22 14:04:2	15299	60.58	31.42	63.92	1722.51
Aug 22 14:05:2	15399	59.94	31.96	63.33	1722.54
Aug 22 14:06:3	15499	60.06	32.0	63.63	1722.14
Aug 22 14:07:3	15599	52.99	38.44	64.6	1722.22
Aug 22 14:08:3	15699	54.51	36.63	63.76	1722.36
Aug 22 14:09:4	15799	57.91	33.23	63.62	1722.48
Aug 22 14:10:4	15899	64.44	29.21	63.7	1722.59
Aug 22 14:11:5	15999	61.74	30.91	64.16	1722.52
Aug 22 14:12:5	16099	55.5	35.85	63.66	1722.38
Aug 22 14:13:5	16199	60.07	32.85	63.34	1722.35
Aug 22 14:15:0	16299	57.63	34.38	63.3	1722.31
Aug 22 14:16:0	16399	51.87	38.69	63.44	1722.42
Aug 22 14:17:1	16499	63.68	29.43	63.36	1722.45
Aug 22 14:18:0	16599	63.26	29.52	63.75	1722.57
Aug 22 14:19:0	16699	59.5	32.93	64.37	1722.45
Aug 22 14:20:0	16799	56.16	36.15	64.45	1722.6
Aug 22 14:21:1	16899	62.03	31.32	63.37	1722.85
Aug 22 14:22:1	16999	63.97	29.05	63.59	1722.81
Aug 22 14:23:2	17099	58.88	32.83	63.54	1722.88
Aug 22 14:24:2	17199	65.49	28.73	63.35	1722.76
Aug 22 14:25:3	17299	58.38	32.89	63.6	1722.99
Aug 22 14:26:3	17399	62.63	30.22	63.69	1722.99
Aug 22 14:27:3	17499	63.1	30.34	63.59	1722.96
Aug 22 14:28:3	17599	60.41	32.53	63.96	1722.97
Aug 22 14:29:3	17699	56.12	36.72	63.75	1723.01
Aug 22 14:30:3	17799	62.54	29.46	63.33	1723.0
Aug 22 14:31:4	17899	60.26	31.97	64.31	1723.18
Aug 22 14:32:4	17999	62.65	30.18	63.71	1723.03
Aug 22 14:33:4	18099	61.19	31.31	63.22	1722.91
Aug 22 14:34:4	18199	58.75	32.34	63.75	1722.94
Aug 22 14:35:3	18299	61.14	31.05	64.06	1723.04
Aug 22 14:36:3	18399	60.52	31.28	63.7	1723.06
Aug 22 14:37:3	18499	61.21	31.79	63.91	1723.01
Aug 22 14:38:3	18599	64.14	29.13	63.45	1722.85
Aug 22 14:39:3	18699	66.59	26.75	63.78	1722.87
Aug 22 14:40:3	18799	61.7	31.18	63.27	1722.95
Aug 22 14:41:3	18899	58.26	33.03	64.3	1723.15
Aug 22 14:42:3	18999	61.7	30.99	63.73	1723.33
Aug 22 14:43:3	19099	61.81	30.61	63.97	1723.18
Aug 22 14:44:4	19199	63.88	28.85	63.97	1723.18
Aug 22 14:45:4	19299	61.44	31.3	64.19	1723.27
Aug 22 14:46:4	19399	58.92	33.1	63.62	1723.19
Aug 22 14:47:5	19499	59.29	32.22	63.51	1723.19
Aug 22 14:48:5	19599	62.71	30.05	63.73	1723.14
Aug 22 14:49:5	19699	60.07	31.9	63.76	1723.18
Aug 22 14:50:5	19799	56.96	35.32	64.75	1723.06
Aug 22 14:51:5	19899	59.89	33.31	63.75	1723.19
Aug 22 14:52:5	19999	59.05	32.87	63.51	1723.12
Aug 22 14:53:5	20099	59.14	32.74	64.11	1722.94
Aug 22 14:54:5	20199	60.69	31.76	63.98	1723.2
Aug 22 14:56:0	20299	53.1	38.31	64.04	1723.31
Aug 22 14:57:0	20399	64.05	29.44	63.61	1723.26
Aug 22 14:58:0	20499	48.75	41.09	63.41	1723.51
Aug 22 14:59:0	20599	61.85	31.08	63.05	1723.53
Aug 22 15:00:1	20699	67.09	26.43	64.3	1723.29
Aug 22 15:01:1	20799	67.56	26.59	64.03	1723.07
Aug 22 15:02:1	20899	63.49	29.3	63.73	1723.29
Aug 22 15:03:1	20999	59.31	32.81	64.51	1723.34
Aug 22 15:04:1	21099	58.51	32.83	63.81	1723.45
Aug 22 15:05:1	21199	66.42	27.51	63.64	1723.4
Aug 22 15:06:1	21299	62.91	29.85	64.31	1723.27
Aug 22 15:07:2	21399	61.6	31.04	63.65	1723.52
Aug 22 15:08:2	21499	62.57	30.16	63.86	1723.58
Aug 22 15:09:2	21599	55.41	36.94	63.75	1723.66
Aug 22 15:10:3	21699	63.51	29.64	63.69	1723.55
Aug 22 15:11:2	21799	55.99	36.6	64.22	1723.62
Aug 22 15:12:2	21899	64.94	28.77	63.71	1723.79
Aug 22 15:13:2	21999	58.25	33.4	64.39	1723.69
Aug 22 15:14:2	22099	54.65	36.54	63.58	1723.6
Aug 22 15:15:2	22199	60.37	32.47	63.85	1723.7
Aug 22 15:16:3	22299	62.63	30.04	63.85	1723.81
Aug 22 15:17:3	22399	64.89	28.27	63.8	1723.63
Aug 22 15:18:3	22499	66.66	27.35	64.32	1723.43
Aug 22 15:19:3	22599	63.0	30.36	64.1	1723.47
Aug 22 15:20:3	22699	64.61	29.02	64.27	1723.35
Aug 22 15:21:3	22799	55.07	36.45	63.61	1723.2
Aug 22 15:22:3	22899	64.48	29.18	64.18	1723.32
Aug 22 15:23:3	22999	62.67	29.87	64.4	1723.46
Aug 22 15:24:3	23099	63.88	29.39	64.16	1723.69
Aug 22 15:25:2	23199	63.17	30.25	64.49	1723.32
Aug 22 15:26:2	23299	64.07	29.21	64.14	1723.37
Aug 22 15:27:2	23399	61.21	31.11	63.83	1723.52
Aug 22 15:28:2	23499	68.88	24.83	64.15	1723.39
Aug 22 15:29:1	23599	52.48	38.45	63.91	1723.49
Aug 22 15:30:1	23699	65.37	27.71	64.25	1723.6
Aug 22 15:31:1	23799	63.17	30.65	63.91	1723.74
Aug 22 15:32:0	23899	63.41	29.99	64.21	1723.7
Aug 22 15:33:0	23999	64.78	29.2	63.84	1723.82
Aug 22 15:33:5	24099	60.82	31.13	64.2	1723.7
Aug 22 15:34:5	24199	60.21	32.38	63.82	1723.64
Aug 22 15:35:5	24299	57.67	33.97	64.26	1723.87
Aug 22 15:36:4	24399	65.73	28.14	63.91	1723.99
Aug 22 15:37:4	24499	69.31	25.94	63.88	1723.75
Aug 22 15:38:4	24599	58.38	34.27	64.43	1723.81
Aug 22 15:39:4	24699	50.86	45.79	64.22	1723.82
Aug 22 15:40:4	24799	61.92	31.01	64.63	1723.74
Aug 22 15:41:4	24899	59.2	32.39	64.71	1723.91
Aug 22 15:42:4	24999	64.37	29.28	64.15	1723.9
Aug 22 15:43:3	25099	59.5	33.02	64.12	1724.01
Aug 22 15:44:3	25199	66.46	27.14	64.46	1724.36
Aug 22 15:45:3	25299	60.67	32.57	63.64	1724.18
Aug 22 15:46:3	25399	65.56	27.12	64.37	1723.8
Aug 22 15:47:2	25499	64.91	28.47	64.31	1723.77
Aug 22 15:48:2	25599	66.87	27.04	63.9	1723.92
Aug 22 15:49:2	25699	58.45	33.77	63.62	1723.97
Aug 22 15:50:1	25799	62.0	30.5	64.29	1723.96
Aug 22 15:51:1	25899	64.78	28.95	63.79	1723.91
Aug 22 15:52:1	25999	64.01	28.19	64.46	1723.98
Aug 22 15:53:1	26099	62.84	30.18	64.21	1723.89
Aug 22 15:54:1	26199	68.88	25.41	64.28	1724.03
Aug 22 15:55:1	26299	61.87	31.03	64.05	1723.78
Aug 22 15:56:1	26399	60.88	31.26	64.22	1723.81
Aug 22 15:57:0	26499	59.51	32.58	63.73	1723.71
Aug 22 15:57:5	26599	64.81	28.25	64.0	1724.12
Aug 22 15:58:5	26699	64.09	29.54	64.06	1724.22
Aug 22 15:59:5	26799	59.93	32.43	63.95	1724.12
Aug 22 16:00:4	26899	63.56	30.04	63.8	1723.89
Aug 22 16:01:4	26999	56.21	35.7	63.43	1724.2
Aug 22 16:02:3	27099	64.87	28.56	63.66	1724.11
Aug 22 16:03:3	27199	59.7	32.71	64.23	1724.13
Aug 22 16:04:3	27299	64.16	29.06	64.16	1724.2
Aug 22 16:05:3	27399	64.24	29.61	63.62	1724.18
Aug 22 16:06:3	27499	53.88	37.41	64.28	1723.99
Aug 22 16:07:3	27599	66.14	27.47	64.29	1724.08
Aug 22 16:08:2	27699	53.08	40.38	63.97	1724.23
Aug 22 16:09:2	27799	64.22	28.81	64.13	1724.13
Aug 22 16:10:2	27899	57.91	34.7	63.89	1724.11
Aug 22 16:11:2	27999	65.32	27.98	64.08	1724.11
Aug 22 16:12:2	28099	59.63	33.05	64.14	1724.21
Aug 22 16:13:2	28199	62.61	30.81	63.79	1724.36
Aug 22 16:14:2	28299	62.93	30.37	63.93	1724.04
Aug 22 16:15:2	28399	67.61	27.04	63.87	1724.07
Aug 22 16:16:1	28499	60.78	32.07	64.32	1723.95
Aug 22 16:17:1	28599	67.35	26.84	63.88	1723.99
Aug 22 16:18:0	28699	67.69	26.53	64.46	1723.96
Aug 22 16:19:0	28799	59.2	33.25	64.55	1723.9
Aug 22 16:20:0	28899	66.18	27.49	63.48	1723.9
Aug 22 16:21:0	28999	70.45	24.51	64.07	1723.99
Aug 22 16:22:0	29099	61.94	30.71	63.86	1724.15
Aug 22 16:22:5	29199	58.73	33.82	64.52	1724.1
Aug 22 16:23:5	29299	63.36	29.3	64.57	1724.2
Aug 22 16:24:4	29399	63.08	29.91	64.85	1724.26
Aug 22 16:25:5	29499	63.82	28.38	64.65	1724.31
Aug 22 16:26:4	29599	64.93	28.56	64.02	1724.35
Aug 22 16:27:4	29699	67.09	27.19	64.49	1724.31
Aug 22 16:28:4	29799	69.79	25.45	63.94	1724.33
Aug 22 16:29:4	29899	53.54	39.1	63.8	1724.16
Aug 22 16:30:4	29999	62.61	31.04	63.65	1724.42
