time	iter	Acc	celoss	featloss	l2sp
Sep  3 12:30:5	10299	85.1	18.94	55.74	240.06
Sep  3 12:31:4	10399	85.85	18.41	55.82	240.82
Sep  3 12:32:2	10499	84.42	18.88	55.74	241.59
Sep  3 12:33:1	10599	85.74	18.44	55.95	242.36
Sep  3 12:34:0	10699	85.74	18.16	56.27	243.12
Sep  3 12:34:4	10799	85.02	18.46	55.85	243.87
Sep  3 12:35:3	10899	85.17	18.2	56.1	244.62
Sep  3 12:36:2	10999	85.7	17.9	56.19	245.37
Sep  3 12:37:1	11099	86.05	17.8	56.14	246.08
Sep  3 12:37:5	11199	85.87	17.88	56.15	246.82
Sep  3 12:38:4	11299	86.3	17.65	56.65	247.56
Sep  3 12:39:3	11399	86.04	17.69	56.65	248.26
Sep  3 12:40:2	11499	86.39	17.51	56.94	248.97
Sep  3 12:41:1	11599	86.72	17.11	56.67	249.68
Sep  3 12:41:5	11699	85.85	17.51	56.54	250.4
Sep  3 12:42:4	11799	86.09	17.58	56.88	251.09
Sep  3 12:43:2	11899	86.44	17.6	56.68	251.79
Sep  3 12:44:1	11999	86.24	17.48	56.92	252.47
Sep  3 12:44:5	12099	86.67	17.47	57.42	253.17
Sep  3 12:45:4	12199	86.44	16.87	57.0	253.84
Sep  3 12:46:3	12299	87.17	16.47	57.62	254.5
Sep  3 12:47:2	12399	86.59	16.54	58.5	255.18
Sep  3 12:48:0	12499	87.55	16.36	57.7	255.85
Sep  3 12:48:5	12599	87.74	16.3	57.94	256.53
Sep  3 12:49:4	12699	86.89	16.29	57.11	257.2
Sep  3 12:50:3	12799	87.05	16.43	57.36	257.87
Sep  3 12:51:1	12899	87.25	16.13	58.02	258.53
Sep  3 12:52:0	12999	87.8	15.71	58.02	259.17
Sep  3 12:52:4	13099	86.75	16.51	57.66	259.8
Sep  3 12:53:3	13199	88.07	15.84	58.06	260.46
Sep  3 12:54:1	13299	87.14	16.33	58.39	261.1
Sep  3 12:55:0	13399	87.09	16.51	57.97	261.74
Sep  3 12:55:4	13499	88.02	15.71	58.48	262.38
Sep  3 12:56:3	13599	87.15	16.19	58.25	263.0
Sep  3 12:57:1	13699	88.09	15.16	59.34	263.61
Sep  3 12:58:0	13799	87.39	16.07	58.38	264.23
Sep  3 12:58:4	13899	87.6	15.34	58.79	264.84
Sep  3 12:59:3	13999	87.57	15.9	58.45	265.43
Sep  3 13:00:2	14099	88.22	15.22	58.58	266.01
Sep  3 13:01:1	14199	87.84	15.38	58.94	266.6
Sep  3 13:02:0	14299	87.97	15.27	58.81	267.17
